你是计算机相关从业者或学生吗？,你听说过持续集成吗？,你了解过哪些持续集成框架？,你觉得持续集成框架对你的工作和学习有作用吗？,你使用编程语言写代码吗？,你最常使用的编程语言是什么？,你是否觉得写完代码后部署和测试部分很繁琐？
不是,有,其他,有,不,其他,并不
是的,有,Buildbot,有,是的,C/C++,是的
不是,没有,其他,没有,不,其他,并不
是的,没有,其他,没有,是的,JAVA,是的
是的,有,Jenkins,有,是的,JAVA,是的
不是,有,其他,有,不,其他,并不
是的,没有,其他,没有,是的,Python,是的
是的,没有,其他,没有,是的,C/C++,并不
是的,没有,其他,有,是的,其他,是的
不是,没有,Buildbot,没有,不,JAVA,并不
是的,有,Buildbot,有,是的,Python,是的
是的,有,Buildbot,没有,是的,C/C++,是的
是的,有,Jenkins,有,是的,C/C++,是的
是的,有,Jenkins,有,是的,C/C++,是的
是的,有,Jenkins,有,是的,C/C++,是的
是的,有,Jenkins,有,是的,C/C++,是的
是的,有,Jenkins,有,是的,C/C++,是的
是的,有,Jenkins,有,是的,C/C++,是的
是的,有,Jenkins,有,是的,C/C++,是的
不是,没有,其他,没有,不,其他,并不
不是,没有,其他,没有,不,其他,并不
是的,有,Jenkins,有,是的,C/C++,是的
是的,有,Jenkins,有,不,其他,是的
是的,有,Jenkins,没有,不,其他,并不
是的,有,Jenkins,有,是的,C/C++,是的
是的,没有,其他,没有,不,其他,并不
是的,有,Jenkins,有,是的,C/C++,是的
是的,有,Jenkins,有,是的,C/C++,是的
是的,没有,Buildbot,没有,不,JAVA,并不
是的,有,Jenkins,没有,不,其他,并不
是的,没有,Buildbot,没有,不,JAVA,并不
是的,没有,Buildbot,没有,不,JAVA,并不
不是,没有,其他,没有,不,JAVA,并不
是的,有,Jenkins,没有,不,其他,并不
是的,有,Jenkins,没有,不,其他,并不
